x,y,segment
0.515309,0.4360982988163087,part1
0.5182471457286433,0.435532797034865,part1
0.5211852914572864,0.43496729525342137,part1
0.5241234371859297,0.4344017934719777,part1
0.5270615829145728,0.43383629169053406,part1
0.5299997286432161,0.4332707899090904,part1
0.5329378743718594,0.4327052881276467,part1
0.5358760201005025,0.43213978634620304,part1
0.5388141658291458,0.4315742845647594,part1
0.5417523115577889,0.4310087827833157,part1
0.5446904572864322,0.43044328100187207,part1
0.5476286030150754,0.42987777922042836,part1
0.5505667487437186,0.4293122774389847,part1
0.5535048944723618,0.42874677565754105,part1
0.556443040201005,0.4281812738760974,part1
0.5593811859296483,0.42761577209465373,part1
0.5623193316582915,0.4270502703132101,part1
0.5652574773869347,0.4264847685317664,part1
0.5681956231155779,0.42591926675032277,part1
0.5711337688442212,0.42535376496887906,part1
0.5740719145728643,0.4247882631874354,part1
0.5770100603015076,0.42422276140599174,part1
0.5799482060301507,0.4236572596245481,part1
0.582886351758794,0.42309175784310443,part1
0.5858244974874373,0.4225262560616607,part1
0.5887626432160804,0.42196075428021707,part1
0.5917007889447237,0.4213952524987734,part1
0.5946389346733669,0.42082975071732975,part1
0.5975770804020101,0.4202642489358861,part1
0.6005152261306533,0.41969874715444244,part1
0.6034533718592965,0.4191332453729988,part1
0.6063915175879397,0.41856774359155513,part1
0.609329663316583,0.4180022418101114,part1
0.6122678090452262,0.41743674002866776,part1
0.6152059547738694,0.4168712382472241,part1
0.6181441005025126,0.41630573646578045,part1
0.6210822462311558,0.4157402346843368,part1
0.6240203919597991,0.4151747329028931,part1
0.6269585376884422,0.41460923112144943,part1
0.6298966834170855,0.4140437293400058,part1
0.6328348291457286,0.4134782275585621,part1
0.6357729748743719,0.41291272577711846,part1
0.6387111206030152,0.4123472239956748,part1
0.6416492663316583,0.41178172221423115,part1
0.6445874120603016,0.4112162204327875,part1
0.6475255577889447,0.41065071865134384,part1
0.650463703517588,0.4100852168699001,part1
0.6534018492462312,0.40951971508845647,part1
0.6563399949748744,0.4089542133070128,part1
0.6592781407035176,0.40838871152556916,part1
0.6622162864321608,0.4078232097441255,part1
0.665154432160804,0.4072577079626818,part1
0.6680925778894473,0.40669220618123814,part1
0.6710307236180905,0.4061267043997945,part1
0.6739688693467337,0.4055612026183508,part1
0.6769070150753769,0.40499570083690717,part1
0.6798451608040201,0.4044301990554635,part1
0.6827833065326634,0.4038646972740198,part1
0.6857214522613065,0.40329919549257615,part1
0.6886595979899498,0.4027336937111325,part1
0.691597743718593,0.40216819192968883,part1
0.6945358894472362,0.4016026901482452,part1
0.6974740351758795,0.4010371883668015,part1
0.7004121809045227,0.4004716865853578,part1
0.7033503266331659,0.39990618480391416,part1
0.706288472361809,0.3993406830224705,part1
0.7092266180904523,0.39877518124102684,part1
0.7121647638190955,0.3982096794595832,part1
0.7151029095477388,0.39764417767813953,part1
0.718041055276382,0.3970786758966959,part1
0.7209792010050252,0.39651317411525216,part1
0.7239173467336684,0.3959476723338085,part1
0.7268554924623116,0.39538217055236485,part1
0.7297936381909549,0.3948166687709212,part1
0.732731783919598,0.39425116698947754,part1
0.7356699296482413,0.39368566520803383,part1
0.7386080753768844,0.39312016342659023,part1
0.7415462211055277,0.3925546616451465,part1
0.744484366834171,0.39198915986370286,part1
0.7474225125628141,0.3914236580822592,part1
0.7503606582914574,0.39085815630081555,part1
0.7532988040201005,0.3902926545193719,part1
0.7562369497487438,0.38972715273792824,part1
0.759175095477387,0.38916165095648453,part1
0.7621132412060302,0.38859614917504093,part1
0.7650513869346734,0.3880306473935972,part1
0.7679895326633166,0.38746514561215356,part1
0.7709276783919599,0.3868996438307099,part1
0.7738658241206031,0.38633414204926625,part1
0.7768039698492463,0.3857686402678226,part1
